Luong,Nganh
3688.7,ThongTinTruyenThong
4518.3,ThongTinTruyenThong
4820.4,ThongTinTruyenThong
4973.7,ThongTinTruyenThong
5104.5,ThongTinTruyenThong
5342.2,ThongTinTruyenThong
5644.3,ThongTinTruyenThong
5917.7,ThongTinTruyenThong
6007.5,ThongTinTruyenThong
6445.4,ThongTinTruyenThong
1337.0,GiaoDucVaDaoTao
1964.6,GiaoDucVaDaoTao
2387.7,GiaoDucVaDaoTao
2754.2,GiaoDucVaDaoTao
2980.0,GiaoDucVaDaoTao
3426.4,GiaoDucVaDaoTao
4263.0,GiaoDucVaDaoTao
5019.4,GiaoDucVaDaoTao
5502.5,GiaoDucVaDaoTao
5729.6,GiaoDucVaDaoTao
1322.1,Yte
2059.3,Yte
2409.2,Yte
2840.5,Yte
3104.6,Yte
3628.4,Yte
4490.6,Yte
5059.9,Yte
5515.0,Yte
5486.3,Yte
1254.7,VuiChoiGiaiTri
2021.7,VuiChoiGiaiTri
2310.9,VuiChoiGiaiTri
2765.6,VuiChoiGiaiTri
2946.5,VuiChoiGiaiTri
3444.4,VuiChoiGiaiTri
4343.8,VuiChoiGiaiTri
4555.4,VuiChoiGiaiTri
5025.9,VuiChoiGiaiTri
5353.0,VuiChoiGiaiTri
